_ws.col.No.,_ws.col.Time,timestamp,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.ack,tcp.seq,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.options.mptcp.rawdataseqno,tcp.window_size,tcp.len,tcp.hdr_len,tcp.analysis.lost_segment,tcp.analysis.ack_rtt,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.bytes_in_flight
130,2017-12-22 15:21:46.773421662,1513927306.7734218,192.168.82.72,222.29.98.225,TCP,59027,40002,341415618,3156777493,0,1,0,0,,185344,0,32,,0.000056926,,,,
131,2017-12-22 15:21:46.773441004,1513927306.773441,192.168.82.72,222.29.98.225,TCP,59027,40002,341416976,3156777493,0,1,0,0,,185344,0,32,,0.000075609,,,,
132,2017-12-22 15:21:46.773449901,1513927306.77345,192.168.82.72,222.29.98.225,TCP,59027,40002,341418334,3156777493,0,1,0,0,,185344,0,32,,0.000084175,,,,
133,2017-12-22 15:21:46.779406159,1513927306.779406,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341419692,0,1,0,0,,29056,1358,32,,,,,,2716
134,2017-12-22 15:21:46.779406872,1513927306.7794068,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341421050,0,1,0,0,,29056,1358,32,,,,,,4074
135,2017-12-22 15:21:46.779468886,1513927306.7794688,192.168.82.72,222.29.98.225,TCP,59027,40002,341421050,3156777493,0,1,0,0,,185344,0,32,,0.000062727,,,,
136,2017-12-22 15:21:46.791448234,1513927306.791448,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341422408,0,1,0,0,,29056,1358,32,,,,,,2716
137,2017-12-22 15:21:46.791448938,1513927306.7914488,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341423766,0,1,0,0,,29056,1358,32,,,,,,4074
138,2017-12-22 15:21:46.791503126,1513927306.7915032,192.168.82.72,222.29.98.225,TCP,59027,40002,341423766,3156777493,0,1,0,0,,185344,0,32,,0.000054892,,,,
139,2017-12-22 15:21:46.797493267,1513927306.7974932,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341425124,0,1,0,0,,29056,1358,32,,,,,,2716
140,2017-12-22 15:21:46.797493927,1513927306.797494,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341426482,0,1,0,0,,29056,1358,32,,,,,,4074
141,2017-12-22 15:21:46.797547982,1513927306.797548,192.168.82.72,222.29.98.225,TCP,59027,40002,341426482,3156777493,0,1,0,0,,185344,0,32,,0.000054715,,,,
142,2017-12-22 15:21:46.804200150,1513927306.8042002,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341427840,0,1,0,0,,29056,1358,32,,,,,,2716
143,2017-12-22 15:21:46.804225225,1513927306.8042252,192.168.82.72,222.29.98.225,TCP,59027,40002,341429198,3156777493,0,1,0,0,,185344,0,32,,0.000025075,,,,
144,2017-12-22 15:21:46.804243879,1513927306.8042438,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341429198,0,1,0,0,,29056,1358,32,,,,,,1358
145,2017-12-22 15:21:46.811430245,1513927306.8114302,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341430556,0,1,0,0,,29056,1358,32,,,,,,2716
146,2017-12-22 15:21:46.811452360,1513927306.8114524,192.168.82.72,222.29.98.225,TCP,59027,40002,341431914,3156777493,0,1,0,0,,185344,0,32,,0.000022115,,,,
